country,year,migration_no,iso_alpha
Ireland,1864,121,IRL
Ireland,1865,82,IRL
Ireland,1866,49,IRL
Ireland,1867,25,IRL
Ireland,1868,5,IRL
Ireland,1869,21,IRL
Ireland,1870,25,IRL
Ireland,1871,26,IRL
Ireland,1872,45,IRL
Ireland,1873,120,IRL
Ireland,1874,84,IRL
Ireland,1875,105,IRL
Ireland,1876,73,IRL
Ireland,1877,30,IRL
Ireland,1878,42,IRL
Spain,1947,5,ESP
Finland,1947,7,FIN
Turkey,1947,15,TUR
Norway,1947,48,NOR
Japan,1947,57,JPN
Sweden,1947,69,SWE
Belgium,1947,91,BEL
Syria,1947,105,SYR
Denmark,1947,143,DNK
Austria,1947,150,AUT
Switzerland,1947,154,CHE
Israel,1947,208,ISR
Philippines,1947,245,PHL
Cyprus,1947,281,CYP
Fiji,1947,282,FJI
Netherlands,1947,310,NLD
Hong Kong,1947,323,HKG
Malta,1947,405,MLT
Poland,1947,467,POL
Papua New Guinea,1947,487,PNG
France,1947,591,FRA
South Africa,1947,616,ZAF
Canada,1947,683,CAN
Egypt,1947,800,EGY
Italy,1947,940,ITA
Malaysia,1947,950,MYS
Indonesia,1947,1086,IDN
Greece,1947,1383,GRC
China,1947,1700,CHN
United States of America,1947,2570,USA
India,1947,3786,IND
New Zealand,1947,3903,NZL
Germany,1947,4830,DEU
United Kingdom ,1947,21649,GBR
Turkey,1948,5,TUR
Spain,1948,29,ESP
Finland,1948,31,FIN
Pakistan,1948,57,PAK
Japan,1948,70,JPN
Philippines,1948,70,PHL
Norway,1948,76,NOR
Myanmar,1948,117,MMR
Denmark,1948,123,DNK
Sweden,1948,149,SWE
Lebanon,1948,151,LBN
Sri Lanka,1948,167,LKA
Switzerland,1948,186,CHE
Fiji,1948,190,FJI
Syria,1948,191,SYR
Israel,1948,228,ISR
Indonesia,1948,259,IDN
Belgium,1948,304,BEL
South Africa,1948,358,ZAF
Papua New Guinea,1948,429,PNG
Hong Kong,1948,481,HKG
Canada,1948,511,CAN
Malaysia,1948,775,MYS
France,1948,796,FRA
Cyprus,1948,891,CYP
